month,SSECI,SSE_log_volume,SSE_volatility,three_month_rate,CPI_growth,USD_ex,EPU,export_yoy
6/1/2014,2048.326904,6.2017,0.1296,4.59,-0.0976,6.2306,105.8055,6.0842
7/1/2014,2201.562012,6.4744,0.1238,4.57,0.1004,6.1984,94.6007,14.2828
8/1/2014,2217.199951,6.5242,0.1492,4.47,0.2006,6.1541,77.5993,9.7214
9/1/2014,2363.870117,6.6223,0.1484,4.44,0.4935,6.1382,107.9098,13.0195
10/1/2014,2420.177979,6.5679,0.1418,4.26,0.0031,6.1251,99.8139,10.3226
11/1/2014,2682.918945,6.7552,0.1601,4.22,-0.2,6.1249,120.1339,4.8198
12/1/2014,3234.677002,7.0417,0.3225,5.22,0.2971,6.1886,58.8992,6.7495
1/1/2015,3210.363037,6.8474,0.4009,4.98,0.3057,6.2181,98.0349,-2.3704
2/1/2015,3310.302979,6.5582,0.3379,5.41,1.1971,6.2518,95.1119,49.6171
3/1/2015,3747.898926,6.9751,0.2498,5.18,-0.5,6.2386,116.2657,-14.1444
4/1/2015,4441.654785,7.103,0.2554,4.1,-0.2,6.201,63.9391,-5.7347
5/1/2015,4611.744141,7.028,0.323,3.11,-0.2,6.2035,68.2508,-2.2381
6/1/2015,4277.222168,7.1096,0.4231,3.35,0.0018,6.2052,95.5362,-0.0622
7/1/2015,3663.726074,7.1204,0.5963,3.21,0.2982,6.2085,133.6395,-9.0711
8/1/2015,3205.986084,6.9405,0.551,3.05,0.5,6.3383,60.2059,-5.9643
9/1/2015,3052.781006,6.7294,0.5265,3.16,0.1,6.3676,96.4306,-4.2332
10/1/2015,3382.561035,6.7366,0.3642,3.19,-0.3,6.3505,87.3398,-6.3003
11/1/2015,3445.405029,6.8492,0.285,3.06,0.0029,6.364,96.078,-8.4096
12/1/2015,3539.181885,6.7294,0.2635,2.97,0.5,6.4491,94.5381,-2.8538
1/1/2016,2737.600098,6.6029,0.457,3.19,0.5,6.5726,127.4783,-13.8818
